name,address1,city,state,zip,phone,logoUrl,website,facebook,twitter,instagram
Beara Irish Brewing Co.,2800 Lafayette Rd.,Portsmouth,NH,03801,(857) 342-3272,,http://www.bearairishbrew.com/,,,
Belgian Mare Brewery,207 Gilsum Mine Rd,Alstead,NH,03602,(603) 835-7801,http://www.granitestatebrewersassociation.org/wp-content/uploads/2013/11/Belgian-Mare-Logo-240x300.jpg,http://www.belgianmarebrewery.com/,https://www.facebook.com/BelgianMareBrewery/,,
Bellavance Beverages,120 Northwest Blvd,Nashua,NH,03063,(603) 882-9722,,http://www.bellavancebev.com/,,,
Big Water Brewery,There is no tasting room at this time,Salisbury,NH,03268,(603) 648-6068,,http://www.bigwaterbrewery.net/,,,
Blasty Bough Brewing Co,3 Griffin Rd,Epsom,NH,03234,(603) 724-3636,http://www.granitestatebrewersassociation.org/wp-content/uploads/2018/04/23658404_726145220912855_7881379043743865498_n-300x300.jpg,http://www.facebook.com/BlastyBoughBrewingCompany/,https://www.facebook.com/BlastyBoughBrewingCompany/,,
Border Brewery,224 N Broadway,Salem,NH,03079,(603) 216-9134,,http://www.borderbrewsupply.com/,,,
Bradford Bear,3056 State Route 114,Bradford,NH,03221,1-877-456-8761,,https://bradfordbear.com/,,,
Branch and Blade Brewing Co,17 Bradco Street,Keene,NH,03431,(603) 354-3478,http://www.granitestatebrewersassociation.org/wp-content/uploads/2018/05/BBBCalt1-300x256.jpeg,https://www.babbrewing.com/,https://www.facebook.com/babbrewingco/,,https://www.instagram.com/babbrewingco/?hl=en
Breakaway Beerworks,There is no tasting room at this time,Manchester,NH,03103,,,https://www.breakawaybeerworks.com/,,,
Brewers of Nye Hill Farm,250 Middletown Rd,Roxbury Center,NH,,(603) 203-1494,http://www.granitestatebrewersassociation.org/wp-content/uploads/2016/06/Nye_Hill-300x300.jpg,http://www.nyehillbrewers.com/,https://www.facebook.com/brewersofnyehillfarm/,https://twitter.com/nyehillbrewers,https://www.instagram.com/thebrewersofnyehillfarm/
Burnt Timber Brewing & Tavern,96 Lehner Street,Wolfeboro,NH,03894,(603) 515-1079,http://www.granitestatebrewersassociation.org/wp-content/uploads/2019/04/12294619_1643312352623968_5448167090858086868_n-300x285.jpg,https://www.burnttimbertavern.com/,https://www.facebook.com/burnt.timber.brewing/,,https://www.instagram.com/burnt_timber_brewingandtavern/
Candia Road Brewing Company,840 Candia Road,Manchester,NH,03101,(603) 935-8123,,http://www.brewerydb.com/brewery/XbjWRB,,,
Canterbury Aleworks,305 Baptist Hill Road,Canterbury,NH,03224,(603) 491-4539,http://www.granitestatebrewersassociation.org/wp-content/uploads/2013/11/Canterbury_logo-300x268.jpg,http://www.canterburyaleworks.com/,https://www.facebook.com/canterburyaleworks,https://twitter.com/alemanspeaks,
Chapel + Main,83 Main St,Dover,NH,03820,(603) 842-5170,http://www.granitestatebrewersassociation.org/wp-content/uploads/2018/01/cropped-ChapelMain-Logo-Black-512-300x53.png,http://www.chapelandmain.com/,https://www.facebook.com/chapelandmain/,,https://www.instagram.com/chapelandmain/?hl=en
Cisco Brewers Portsmouth,35 Corporate Dr,Portsmouth,NH,03801,,,https://www.ciscobrewersportsmouth.com/,,,
Concord Craft Brewing Co,117 Storrs St,Concord,NH,03301,(603) 745-3951,http://www.granitestatebrewersassociation.org/wp-content/uploads/2016/06/CCB.png,http://www.concordcraftbrewing.com/,https://www.facebook.com/ConcordCraftBrewing/,,
Co�s Brewing Company,13 Merrill Street,Colebrook,NH,03576,,,https://www.coosbeer.com/,,,
Copper Pig Brewing Co,1 Middle Street,Lancaster,NH,03584,(603) 631-2273,http://www.granitestatebrewersassociation.org/wp-content/uploads/2018/04/image1-300x114.jpeg,http://www.copperpigbrewery.com/,https://www.facebook.com/CopperPigBrewery/,,
Craft Beer Guild Distributing,4 Cutts St Unit 4,Portsmouth,NH,03801,(603) 319-8508,,http://www.craftbeerguildnh.com,,,
Czar's Brewing Co,2 Center Street,Exeter,NH,03833,(603) 583-5539,http://www.granitestatebrewersassociation.org/wp-content/uploads/2019/04/Czars-Brewery-300x241.jpg,https://www.facebook.com/Czars-Brewery-350336139097693/,https://www.facebook.com/Czars-Brewery-350336139097693/,,https://www.instagram.com/czars_brewery/
Deciduous Brewing Company,12 Weaver St,Newmarket,NH,03857,(603) 292-5809,http://www.granitestatebrewersassociation.org/wp-content/uploads/2016/06/Deciduous-Brewing-Co-300x113.jpg,https://www.facebook.com/deciduousbeer,https://www.facebook.com/DeciduousBrew/,https://twitter.com/deciduousbeer,
Earth Eagle Brewings,165 High St,Portsmouth,NH,03801,(603) 817-2773,http://www.granitestatebrewersassociation.org/wp-content/uploads/2013/11/EarthEagle_logo-300x227.jpg,http://eartheaglebrewings.com/,https://www.facebook.com/eartheaglebrewings,https://twitter.com/eartheaglebrews,https://www.instagram.com/eartheaglebrewings/
Elm City Brewing Company,"Colony Mill Marketplace, 222 West St. Unit 46",Keene,NH,03431,(603) 355-3335,http://www.granitestatebrewersassociation.org/wp-content/uploads/2013/11/ElmCity_logo.jpg,http://www.elmcitybrewing.com/,https://www.facebook.com/elmcitybrewing,https://twitter.com/ecbrewpub,
Empty Pint Brewing Co,17 Second St,Dover,NH,03820,,http://www.granitestatebrewersassociation.org/wp-content/uploads/2016/06/Empty-Pint-Brewing-Co-300x181.jpg,http://emptypintbrewing.com/,https://www.facebook.com/emptypintbrewing/,,https://www.instagram.com/emptypintbrewing/
Exeter Brewing Co.,There is no tasting room at this time,Exeter,NH,03833,(603) 686-7253,,https://www.exeterbrewing.co/,,,
Flying Goose Brew Pub & Grille,40 Andover Rd,New London,NH,03257,(603) 526-6899,http://www.granitestatebrewersassociation.org/wp-content/uploads/2013/11/FlyingGoose_logo.jpg,http://www.flyinggoose.com/,https://www.facebook.com/TheFlyingGoosePub,https://twitter.com/flyinggoosepub,
Frogg Brewing Co,108 Main St,Marlborough,NH,03455,(603) 547-7639,http://www.granitestatebrewersassociation.org/wp-content/uploads/2018/07/frogg-final-041418-round-green-150x150.jpg,https://www.froggbrewing.com/,https://www.facebook.com/froggbrewing/,,https://www.instagram.com/froggbrewing/
From The Barrel,"1 Corporate Park Drive, Unit 16",Londonderry,NH,03053,(603) 328-1896,http://www.granitestatebrewersassociation.org/wp-content/uploads/2013/11/FTB-logo1-300x300.png,http://www.drinkfromthebarrel.com/,https://www.facebook.com/FromTheBarrelBrewery,,https://www.instagram.com/drinkftb/
Garrison City Beerworks,455 Central Ave,Dover,NH,03820,(603) 343-4231,http://www.granitestatebrewersassociation.org/wp-content/uploads/2016/06/LogoInBlack2-1-300x125.png,http://www.garrisoncitybeerworks.com/,https://www.facebook.com/GarrisonCity/,https://twitter.com/garrisoncity,https://www.instagram.com/garrisoncity/
Granite Roots Brewing,244 N Main St,Troy,NH,03465,(603) 242-3435,http://www.granitestatebrewersassociation.org/wp-content/uploads/2016/06/Granite-Roots-Brewing.jpg,http://graniterootsbrewing.com/,https://www.facebook.com/MooselickBrewing,https://twitter.com/MooselickBrews,https://www.instagram.com/mooselickbrewing/
Great North Aleworks,"1050 Holt Ave,  Unit #14",Manchester,NH,03109,(603) 858-5789,http://www.granitestatebrewersassociation.org/wp-content/uploads/2013/11/GNA_logo_horizontal1_2color-300x147.png,http://www.greatnorthaleworks.com/,https://www.facebook.com/greatnorthale/,http://twitter.com/greatnorthale,https://www.instagram.com/greatnorthale/
Great Rhythm Brewing Company,105 Bartlett Street,Portsmouth,NH,03801,(603) 430-9640,http://www.granitestatebrewersassociation.org/wp-content/uploads/2016/06/great_rhythm-300x175.jpg,http://www.greatrhythmbrewing.com/,https://www.facebook.com/greatrhythmbrewing/,https://twitter.com/GreatRhythmBrew,https://www.instagram.com/greatrhythmbrewing/
Henniker Brewing Co.,129 Centervale Road,Henniker,NH,03242,(603) 428-3579,http://www.granitestatebrewersassociation.org/wp-content/uploads/2019/08/HBC-Logo-Mark-Height-Detail-JPG-1024x502.jpg,http://www.hennikerbrewing.com/,https://www.facebook.com/hennikerbrewing/,https://twitter.com/hennikerbrewing,https://www.instagram.com/hennikerbrewingco/
Hidden Moon Brewery,23 Londonderry Rd Unit17,Londonderry,NH,03053,(603) 216-2162,,http://www.moonlightmeadery.com/hidden-moon-brewing/,,,
Hobbs Tavern & Brewing Co.,2415 NH Route 16,West Ossipee,NH,03890,(603) 539-2000,http://www.granitestatebrewersassociation.org/wp-content/uploads/2016/06/Hobbs-300x177.jpg,http://www.hobbstavern.com/,https://www.facebook.com/hobbstavern/,,
Iron Furnace Brewing Co,15 Main St,Franconia,NH,03580,(781) 760-9561,http://www.granitestatebrewersassociation.org/wp-content/uploads/2018/04/22853260_307097853101537_1452555049620614635_n-300x300.png,http://www.ironfurnacebrewing.com/,https://www.facebook.com/ironfurnacebrewing/?ref=br_rs,,https://www.instagram.com/ironfurnacebrewing/?hl=en
Kelsen Brewing Company,"80 North High Street, Unit 3",Derry,NH,03038,(603) 965-3708,http://www.granitestatebrewersassociation.org/wp-content/uploads/2013/11/Kelsen_logo-300x189.jpg,http://kelsenbrewing.com/,https://www.facebook.com/KelsenBrewing/,https://twitter.com/kelsenbrewing,https://www.instagram.com/kelsenbrewing/
Kettlehead Brewing Co,407 West Main St,Tilton,NH,03276,(603) 286-8100,http://www.granitestatebrewersassociation.org/wp-content/uploads/2019/04/21751887_1281468338645454_1283558290804570079_n-300x300.jpg,https://kettleheadbrewing.com/,https://www.facebook.com/kettleheadbrewing/,https://twitter.com/kettleheadbrew,https://www.instagram.com/kettleheadbrewing/
Laughing Crow Beer,There is no tasting room at this time,Amherst,NH,03031,,,https://www.facebook.com/LaughingCrowBeer/,,,
Liars Bench Beer Co,459 Islington St #4,Portsmouth,NH,03801,(603) 294-9156,http://www.granitestatebrewersassociation.org/wp-content/uploads/2016/06/Liars-Bench-Beer-Co-217x300.png,http://www.liarsbenchbeer.com/,https://www.facebook.com/liarsbenchbeer/,https://twitter.com/liarsbenchbeer,https://www.instagram.com/liarsbenchbeer/
Liquid Therapy,"14 Court St. Unit B Nashua, NH 03060",Nashua,NH,03060,,,http://www.liquidtherapynh.com/,,,
Lithermans Limited Brewing Co.,126B Hall St,Concord,NH,03301,(603) 818-9102,http://www.granitestatebrewersassociation.org/wp-content/uploads/2016/06/lithermans-300x155.png,http://www.lithermans.beer/,https://www.facebook.com/lithermans/,,https://www.instagram.com/lithermans_ltd/
Loaded Question Brewing Co,909 Islington St,Portsmouth,NH,03801,(206) 422-0941,http://www.granitestatebrewersassociation.org/wp-content/uploads/2018/06/Loaded-Question-300x300.jpg,https://www.loadedquestionbrewing.com/,https://www.facebook.com/loadedquestionbrewing/,,https://www.instagram.com/lqbrewing/?hl=en
Long Blue Cat Brewing Co,298 Rockingham Rd,Londonderry,NH,03053,(603) 818-8068,http://www.granitestatebrewersassociation.org/wp-content/uploads/2016/06/long-blue-cat-1024x794.png,http://www.longbluecat.com/,https://www.facebook.com/Long-Blue-Cat-Brewing-Co-1695427987436009/,,
Marthas Exchange Restaurant & Brewing Co.,185 Main St,Nashua,NH,03063,(603) 883-8781,http://www.granitestatebrewersassociation.org/wp-content/uploads/2013/11/Marthas_logo-300x300.jpg,http://www.marthas-exchange.com/,https://www.facebook.com/MarthasExchange,https://twitter.com/marthasexchange,
Millyard Brewery,25 E Otterson,Nashua,NH,03060,(603) 722-0104,http://www.granitestatebrewersassociation.org/wp-content/uploads/2019/04/Millyard-brewery-logo-300x229.jpg,http://www.millyardbrewery.com/home-1.html,https://www.facebook.com/millyardbrewery/,,
Moat Mountain Smoke House & Brewing Co.,3378 White Mountain Highway Route 16,North Conway,NH,03860,(603) 356-6381,http://www.granitestatebrewersassociation.org/wp-content/uploads/2019/04/Moat-Mountain.jpg,http://www.moatmountain.com/,https://www.facebook.com/Moat-Mountain-Smoke-House-Brewing-Co-106567563219/,https://twitter.com/moatmountain,
Modestman Brewing Co,100 Main St,Keene,NH,03431,(603) 352-7695,http://www.granitestatebrewersassociation.org/wp-content/uploads/2020/03/ModestMan-300x300.jpg,https://modestmanbrewing.com/,https://www.facebook.com/Modestman-Brewing-105708387522711/?ref=page_internal,,https://www.instagram.com/modestmanbrewing/
Monadnock Brewing,78 Cheshire Turnpike,Langdon,NH,03602,(603) 313-6318,,https://www.monadnockbrewing.com/,,,
Muddy Road Brewery,213 Middleton Rd.,New Durham,NH,03855,(603) 781-9826,,https://untappd.com/MuddyRoadBrewery,,,
New Hampshire Distributors,65 Regional Drive,Concord,NH,03302,(603) 224-9991,,http://www.nhdist.com/,,,
North Country Hard Cider,3 Front St.,Rollinsford,NH,03869,(603) 834-9915,,https://www.northcountrycider.com/,,,
Northwoods Brewing Co,1334 First NH Turnpike,Northwood,NH,03261,(603) 942-6400,http://www.granitestatebrewersassociation.org/wp-content/uploads/2018/09/Northwoods-Brewing-Co-300x300.jpg,http://northwoodsbrewingcompany.com/?fbclid=IwAR3Vm3x9HbXE_lpOJacIkv0wjwacdHye0dEip5zP7hm3sO2bp0jUy0C7HuM,https://www.facebook.com/northwoodsbrewingco/,,https://www.instagram.com/northwoodsbrewingco/?hl=en
Odd Fellows Brewing Co,124 Main St,Nashua,NH,03060,(603) 521-8129,http://www.granitestatebrewersassociation.org/wp-content/uploads/2019/03/Odd-Fellows-300x143.png,https://www.oddfellowsbrewery.com/,https://www.facebook.com/OddFellowsBrewingCo/,,https://www.instagram.com/oddfellowsbrewery/
Oddball Brewing,6 Glass St,Pembroke ,NH,03275,(603) 210-5654,http://www.granitestatebrewersassociation.org/wp-content/uploads/2016/06/Oddball-300x261.jpg,http://www.oddbbrewing.com/,https://www.facebook.com/oddballbrewings,https://twitter.com/Oddballbrewing,https://www.instagram.com/oddbbrewing/
One Love Brewery,25 S Mountain Dr,Lincoln,NH,03251,(603) 745-7290,http://www.granitestatebrewersassociation.org/wp-content/uploads/2019/04/onelove_high_res_logo_logo.png,https://www.onelovebrewery.com/,https://www.facebook.com/One-Love-Brewery-318639484917061/?ref=br_rs,,https://www.instagram.com/onelovebrewery/?hl=en
Out.Haus Ales,"442 1st NH Tpke,  Ste 2",Northwood,NH,03261,(603) 548-2151,http://www.granitestatebrewersassociation.org/wp-content/uploads/2013/11/OutHaus_logo.jpg,http://www.outhausales.com/,https://www.facebook.com/Out.Haus/,,
Patch Orchards,40 Patch Road,Lebanon,NH,03766,(603) 448-4130,,https://patchorchards.com,,,
Pipe Dream Brewing,49 Harvey Rd,Londonderry,NH,03053,(603) 401-2640,,http://pipedreambrewingnh.com/,,,
Polyculture Brewing Co,3 Camel Hump Road,Croydon,NH,03773,(603) 276-8367,http://www.granitestatebrewersassociation.org/wp-content/uploads/2018/05/Polyculture-Brewing-Co-Logo-300x265.jpg,https://www.polyculturebrewing.com/,https://www.facebook.com/PolycultureBrewingCo/,,https://www.instagram.com/polyculturebrewingco/?hl=en
Polyculture Brewing Company,There is no tasting room at this time,Croydon,NH,03773,,,https://www.facebook.com/PolycultureBrewingCo/,,,
Post and Beam Brewing,40 Grove Street,Peterborough,NH,03458,(603) 784-5361,,http://www.postandbeambrewery.com/,,,
Protectworth Brewing,There is no tasting room at this time,Springfield,NH,03284,,,https://www.facebook.com/ProtectworthBrewing/,,,
Pup�s Cider,193 East Road,Greenfield,NH,03047,(603) 547-2000,,http://www.pupscider.com/,,,
Rek'-Lis Brewing Co,44 Pinewood Ave,Bethlehem,NH,03574,(360) 852-1234,http://www.granitestatebrewersassociation.org/wp-content/uploads/2016/06/Rek-Lis-300x227.jpeg,http://www.reklisbrewing.com/,https://www.facebook.com/reklisbrewingco/,,http://instagram.com/reklisbrewing/
Rockingham Brewing Company,"One Corporate Drive,  Unit #1",Derry,NH,03038,(603) 216-2324,http://www.granitestatebrewersassociation.org/wp-content/uploads/2013/11/logo-white-295x300.jpg,http://www.rockinghambrewing.com/,https://www.facebook.com/rockinghambrewing,,
Schilling Beer Company,18 Mill St,Littleton,NH,03561,(603) 444-4800,http://www.granitestatebrewersassociation.org/wp-content/uploads/2013/11/Schilling_logo.png,http://schillingbeer.com/,https://www.facebook.com/schilling.beer,https://twitter.com/schillingbeer,https://www.instagram.com/schillingbeerco/
"Sea Dog Brewing Co, North Conway",1976 White Mountain Highway,North Conway,NH,03860,(603) 356-0590,,http://www.seadogbrewing.com/,,,
Seadog Brewing Company � Exeter,5 Water St,Exeter,NH,03833,(603) 793-5116,,https://exeter.seadogbrewing.com/,,,
Shackett's Brewing Co,26B Central Square,Bristol,NH,03222,(603) 217-7730,http://www.granitestatebrewersassociation.org/wp-content/uploads/2020/03/Shacketts-300x252.jpg,https://www.facebook.com/ShackettsBrewingCompany/,https://www.facebook.com/ShackettsBrewingCompany/,,https://www.instagram.com/shacketts_brewing_co/
Smuttynose Brewing Company,105 Towle Farm Road,Hampton,NH,03842,(603) 436-4026,http://www.granitestatebrewersassociation.org/wp-content/uploads/2013/11/Smuttynose_2013_logo.jpg,https://smuttynose.com/,https://www.facebook.com/Smuttynose,https://twitter.com/smuttynosebeer,https://www.instagram.com/smuttynosebeer/
Spyglass Brewing Co,"2 Townsend West,  Unit 8",Nashua,NH,03036,(603) 546-2965,http://www.granitestatebrewersassociation.org/wp-content/uploads/2018/09/Spyglass-Brewing-Co-300x158.png,https://www.spyglassbrewing.com/,,,https://www.instagram.com/spyglassbrewing/?hl=en
Squam Brewing,118 Perch Pond Rd,Holderness,NH,03245,(603) 236-9705,,http://www.squambrewing.com/,,,
Stark Brewing Company,500 Commercial Street,Manchester,NH,03101,(603) 625-4444,,http://starkbrewingcompany.com/,,,
Stoneface Brewing Co,436 Shattuck Way,Newington,NH,03801,(603) 570-2603,http://www.granitestatebrewersassociation.org/wp-content/uploads/2016/06/Stoneface-Brewing-Co-150x150.jpg,http://www.stonefacebrewing.com/,https://www.facebook.com/stoneface/,https://twitter.com/StonefaceBrew,https://www.instagram.com/stonefacebrewing/
Stripe Nine Brewing Co,8 Somersworth Rd,Somersworth,NH,03878,(603) 841-7175,http://www.granitestatebrewersassociation.org/wp-content/uploads/2019/09/SN-LOGO-1-1024x880.jpg,https://stripeninebrewing.com/,,,https://www.instagram.com/stripeninebrewing/
Swift Current Brewing Co.,500 N Commercial St,Manchester,NH,03101,,,https://swiftcurrentbrewing.com/,,,
The Brewers of Nye Hill Farm,250 Middletown Rd.,Roxbury Center,NH,03431,,,http://www.nyehillbrewers.com/,,,
The Dam Brewhouse,1323 NH-175,Campton,NH,03223,(603) 726-8879,http://www.granitestatebrewersassociation.org/wp-content/uploads/2018/12/the-damhouse.jpg,https://www.dambrewhouse.com/,https://www.facebook.com/profilespiritsnh/,,https://www.instagram.com/dambrewhouse/
The Last Chair,5 NH Route 25,Plymouth,NH,03264,(603) 238-9077,,https://thelastchairnh.com/,,,
The Lone Wolfe Brewing Co.,39 N. Main St.,Wolfeboro,NH,03894,(603) 515-1273,,https://www.facebook.com/LoneWolfeBrewing/,,,
The Outlaw Brewing Co,215 Scotland Rd,Winchester,NH,03470,(603) 239-6292,http://www.granitestatebrewersassociation.org/wp-content/uploads/2016/06/16300250_256784158091004_3495298155111366987_o-1-300x300.png,https://squareup.com/store/theoutlawbrewingcompany,https://www.facebook.com/theoutlawbrewingcompany/,,https://www.instagram.com/theoutlawbrewingcompany
The Portsmouth Brewery,56 Market Street,Portsmouth ,NH,03801,(603) 431-1115,http://www.granitestatebrewersassociation.org/wp-content/uploads/2013/11/Portsmouth_logo-300x295.jpg,https://portsmouthbrewery.com/,https://www.facebook.com/Portsmouthbrewery,https://twitter.com/portsbrew,https://www.instagram.com/portsmouthbrewery/
Throwback Brewery,7 Hobbs Rd,North Hampton,NH,03862,(603) 379-2317,http://www.granitestatebrewersassociation.org/wp-content/uploads/2013/11/Throwback_logo-300x254.jpg,http://throwbackbrewery.com/,https://www.facebook.com/ThrowbackBrewery,https://twitter.com/thrwbck,https://www.instagram.com/thrwbck/
Tilton Brothers Brewing Co,845 Lafayette Rd,Hampton,NH,03842,(603) 926-0119,http://www.granitestatebrewersassociation.org/wp-content/uploads/2019/02/image1.png,https://www.tiltonbrothersbrewing.com/,https://www.facebook.com/tiltonbrothersbrewing/,,https://www.instagram.com/tiltonbrothersbrewing/
To Share Brewing Co,720 Union Street,Manchester,NH,03104,(603) 836-6947,http://www.granitestatebrewersassociation.org/wp-content/uploads/2016/06/ToShare-Brewing.png,https://www.tosharebrewing.com/,https://www.facebook.com/ToShareBrewing/,https://twitter.com/ToShareBrewing,https://www.instagram.com/tosharebrewing/
Topwater Brewing Co,748 Calef Highway,Barrington,NH,03825,,,https://untappd.com/TopwaterBrewingCo,,,
Tuckerman's Brewing Co,66 Hobbs Street,Conway,NH,03818,(603) 447-5400,http://www.granitestatebrewersassociation.org/wp-content/uploads/2013/11/Tuckerman_logo.jpg,http://tuckermanbrewing.com/,https://www.facebook.com/Tuckerman-Brewing-Company-321565841256597/,https://twitter.com/tuckermanbrews,
Twin Barns Brewing Co,194 Daniel Webster Highway,Meredith,NH,03253,(603) 279-0876,http://www.granitestatebrewersassociation.org/wp-content/uploads/2019/04/TwinBarns_Logo_System-Label-300x300.jpg,http://www.granitestatebrewersassociation.org/about/members/info@twinbarnsbrewing.com,https://www.facebook.com/twinbarnsbrewing/,https://twitter.com/twinbarnsbrew,https://www.instagram.com/twinbarnsbrew/
UNH Brewing Science Laboratory,519 Kendall Hall,Durham,NH,03824,(603)-862-5417,http://www.granitestatebrewersassociation.org/wp-content/uploads/2020/03/UNH-300x292.png,,,,https://www.instagram.com/unhbrewlab/?hl=en
Vulgar Brewing Co,378 Central St,Franklin,NH,03235,(603) 333-1439,http://www.granitestatebrewersassociation.org/wp-content/uploads/2019/04/Vulgar-Brewing-Co_Main-Logo-300x244.jpg,http://vulgarbrewing.com/,https://www.facebook.com/vbcfranklin/,https://twitter.com/vulgarbrewing,https://www.instagram.com/vulgarbrewingco/
West LA Beer Co.,647 West Swanzey Rd,Swanzey,NH,03446,(603) 903-0724,,https://westlabeercompany.com/,,,
White Birch Brewing,460 Amherst St,Nashua,NH,03063,(603) 402-4444,http://www.granitestatebrewersassociation.org/wp-content/uploads/2013/11/WBB_Logo_72-300x207.jpg,http://www.whitebirchbrewing.com/,https://www.facebook.com/whitebirchbrew,https://twitter.com/WhiteBirchBrew,
White Mountain Brewing,50 Winter St,Ashland,NH,03217,(603) 381-1781,,https://www.facebook.com/whitemountainbrewingco/,,,
Woodman's Brewery,195 Peaked Hill Rd,Bristol,NH,03222,(603) 744-3669,http://www.granitestatebrewersassociation.org/wp-content/uploads/2018/01/WoodmansSticker1-300x300.jpg,https://www.facebook.com/WoodmansBrewery/,https://www.facebook.com/WoodmansBrewery/,,https://www.instagram.com/woodmans_brewery_nh/?hl=en
Woodstock Inn Brewery,135 Main St,North Woodstock,NH,03262,(603) 745-3951,http://www.granitestatebrewersassociation.org/wp-content/uploads/2018/04/Woodstock-Inn-Brewery-4C-logo-2-1-300x195.png,http://www.woodstockinnnh.com/,https://www.facebook.com/woodstockinnstation,https://twitter.com/WoodstockBrew,http://instagram.com/woodstockbrewery/
